Name,AUID,Coords,Const,Type,Period,Mag,Revised
"ATO J104.5776+21.9004","000-BPC-456","06 58 18.64 +21 54 01.7","Gem","DSCT","0.04133507","15.87 - 15.93 r","2021-08-28 17:28 UTC"
"CoMo-RtUAI_V1","000-BNX-714","06 59 15.41 +21 33 25.3","Gem","EW","0.27939","17.48 - 17.80 r","2021-03-24 20:37 UTC"
"EPIC 202126853","--","06 58 48.78 +19 11 34.9","Gem","EA","21.17084","11.700 (0.016) Kp","2024-12-02 15:48 UTC"
"Gaia DR3 3377425461098705408","000-BPK-159","06 19 48.46 +22 53 24.2","Gem","DSCT","0.057121","13.92 - 13.96 r","2022-06-23 21:27 UTC"
"Sur-MC-7","000-BPM-759","06 50 23.43 +22 41 55.3","Gem","EW","0.253527","15.02 - 15.11 r","2022-12-16 05:07 UTC"
"Sur-MC-1","000-BPM-316","18 43 52.96 +16 06 50.8","Her","EW","0.455536","16.01 - 16.08 r","2022-11-15 03:10 UTC"
"1SWASP J144252.26-281517.6","000-BQC-177","14 42 52.26 -28 15 17.6","Hya","ROT+DSCT","1.00442","10.60 (0.046)TESS V","2025-01-21 15:44 UTC"
"Sur-MC-6","000-BPM-734","22 36 50.50 +56 31 42.3","Lac","DSCT","0.084453","13.75 - 13.79 r","2022-12-13 06:00 UTC"
"2MASS J06590647+4608243","000-BPR-639","06 59 06.48 +46 08 24.5","Lyn","EA","0.809243","14.86 - 15.02 r","2023-10-04 13:53 UTC"
"MaCoMP_V20","000-BPM-080","18 51 59.55 +33 02 27.3","Lyr","EB","0.368116","17.02 - 17.21 r","2022-11-08 21:57 UTC"
"TIC 394546184","000-BPT-014","19 23 39.63 +32 47 25.9","Lyr","EP","10.0661","10.836 (0.031) TESS","2023-11-27 13:30 UTC"
"ATO J098.2845+04.6312","000-BPN-108","06 33 08.30 +04 37 52.4","Mon","TTS/ROT","5.123","15.7 - 16.0 r","2023-01-06 22:50 UTC"
"MaCoMP_V15","000-BPJ-314","06 36 01.99 +05 33 56.3","Mon","EB","0.7099","16.17 - 16.36 r","2022-05-06 17:15 UTC"
"Sur-MC-8","000-BPN-364","06 46 07.68 -04 09 07.1","Mon","BCEP|DSCT:","0.088996","16.13 - 16.18 r","2023-01-24 06:23 UTC"
